category,title,url
เทคโนโลยีสารสนเทศ และการสื่อสาร,สถิติข้อมูลคนพิการที่มีบัตรประจำตัวคนพิการ จำแนกตามจังหวัด ประเภทความพิการ และเพศ,https://data.go.th/DatasetDetail.aspx?id=b5966a54-0b48-4128-b180-a22d2baed159
สังคมและสวัสดิการ,รายจ่ายเฉลี่ยต่อปีของคนและครัวเรือน (รายจังหวัด) จากข้อมูล จปฐ ปี 2558,https://data.go.th/DatasetDetail.aspx?id=a25b4a91-a59f-4e76-a5b3-7649b471b52d
กฎหมาย ศาล และอาชญากรรม,สถิติการรับเรื่องร้องเรียนการทุจริตในภาครัฐของสำนักงาน ป.ป.ท.,https://data.go.th/DatasetDetail.aspx?id=304b10da-e1cd-4197-af5b-232fc8e22752
การศึกษา,ภาพรวมสถิติการศึกษาต่อของนักเรียนทุนรัฐบาล ในเดือนมกราคม 2558,https://data.go.th/DatasetDetail.aspx?id=4c374672-440c-48f9-8e69-d20e55e1a5e7
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนมิถุนายน,https://data.go.th/DatasetDetail.aspx?id=9b89a54c-f0dd-405b-9e88-7710ebd52d73
คมนาคม และโลจิสติกส์,สถิติการขนส่งทางอากาศภายของท่าอากาศยานสังกัดกรมการบินพลเรือน ประจำปี 2014,https://data.go.th/DatasetDetail.aspx?id=982810d9-cadc-4500-bb2f-0c23348b0a73
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามสาขาวิชาและประเภททุน ในเดือนกุมภาพันธ์ 2558,https://data.go.th/DatasetDetail.aspx?id=b5b16ab3-d4aa-47ea-a164-0844bfddb287
การศึกษา,ภาพรวมสถิติการศึกษาต่อของนักเรียนทุนรัฐบาล ในเดือนมิถุนายน 2558,https://data.go.th/DatasetDetail.aspx?id=38377a5e-2160-4291-bb04-1f5900997d47
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามสาขาวิชาและประเภททุน ในเดือนมีนาคม 2558,https://data.go.th/DatasetDetail.aspx?id=70750a3d-434e-4255-8aff-1d37a1c4a516
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามสาขาวิชาและประเภททุน ในเดือนพฤษภาคม 2558,https://data.go.th/DatasetDetail.aspx?id=da733108-aefd-4388-85e0-3f634fd48645
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามประเทศที่ศึกษาและประเภททุน ในเดือนพฤษภาคม 2558,https://data.go.th/DatasetDetail.aspx?id=2a781869-de6d-4339-b950-0c2e0594fe33
การศึกษา,ภาพรวมสถิติการศึกษาต่อของนักเรียนทุนรัฐบาล ในเดือนพฤษภาคม 2558,https://data.go.th/DatasetDetail.aspx?id=027d69c6-32e0-4091-b834-330c62602493
แผนที่,ชั้นข้อมูลเส้นทางหลวงชนบท,https://data.go.th/DatasetDetail.aspx?id=70513227-8977-4b6f-acc1-6360a73a0a6e
เศรษฐกิจ การเงิน และอุตสาหกรรม,ค่าใช้จ่ายเฉลี่ยต่อเดือนต่อครัวเรือน จำแนกตามภาค และจังหวัด พ.ศ. 2539 - 2557,https://data.go.th/DatasetDetail.aspx?id=98f8b9f0-413f-4914-aaa5-723026860aeb
ศาสนา ศิลปะ และวัฒนธรรม,จำนวนวัดไทยในประเทศ,https://data.go.th/DatasetDetail.aspx?id=cf803535-9696-49b1-912a-700d47beb781
งบประมาณ และการใช้จ่ายของภาครัฐ,รายงานการจัดซื้อจัดจ้างของหน่วยงานภาครัฐ แยกเป็นรายเดือน ต.ค.57,https://data.go.th/DatasetDetail.aspx?id=a4638ea2-3813-4679-9bbf-b013f7519809
เกษตรกรรม และชลประทาน,ข้อมูลเกษตรกรผู้เลี้ยงสัตว์และปศุสัตว์,https://data.go.th/DatasetDetail.aspx?id=1e593aab-9a91-4928-978e-0aae4a3bc96b
สาธารณสุข,บัญชียาหลักแห่งชาติ,https://data.go.th/DatasetDetail.aspx?id=64a59021-3316-4e88-a56d-b8669dc99071
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามประเทศที่ศึกษาและประเภททุน ในเดือนมกราคม 2558,https://data.go.th/DatasetDetail.aspx?id=1bda08ac-6a6a-4269-a2c0-4e50d40f830e
สถานที่ การท่องเที่ยว และกีฬา,ข้อมูลแหล่งท่องเที่ยว กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช,https://data.go.th/DatasetDetail.aspx?id=bebe4e41-9d85-4344-9841-d552307b2ffd
คมนาคม และโลจิสติกส์,สถิติขนส่งทางอากาศปริมาณการจราจรทางอากาศของสายการบินต้นทุนต่ำปี 2557,https://data.go.th/DatasetDetail.aspx?id=b6b42ac5-a7e6-41df-af98-2fae9152ed35
เศรษฐกิจ การเงิน และอุตสาหกรรม,ธุรกรรมการชำระเงินผ่านบริการ Mobile banking และ Internet banking ม.ค. 2553  - มี.ค. 2558,https://data.go.th/DatasetDetail.aspx?id=d58029e1-f228-4aa8-96f5-3921979f3f67
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,แหล่งธรรมชาติอันควรอนุรักษ์ของประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=00b854a8-3c98-4a03-b78b-7c9aa14b88c6
เกษตรกรรม และชลประทาน,ข้อมูลปราชญ์ชาวบ้าน,https://data.go.th/DatasetDetail.aspx?id=e67664ed-c322-493d-9f30-a0542aa6c1cb
คมนาคม และโลจิสติกส์,จำนวนรถจดทะเบียน (สะสม) ณ วันที่  31 มีนาคม 2559,https://data.go.th/DatasetDetail.aspx?id=85843f9b-8d21-457a-abb5-b3c139ec8fd8
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลธุรกรรมการให้บริการเงินอิเล็กทรอนิกส์ (e-Money),https://data.go.th/DatasetDetail.aspx?id=48172184-b2c6-4dad-b9f4-7442be87e1a2
สาธารณสุข,ราคากลางยา แผนปัจจุบัน,https://data.go.th/DatasetDetail.aspx?id=ff313a7a-041c-4e6a-9c73-3643604a7d27
สาธารณสุข,ราคากลางยา ยาสมุนไพร,https://data.go.th/DatasetDetail.aspx?id=df343739-806e-49fd-b30f-76274d8069a9
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนพฤษภาคม,https://data.go.th/DatasetDetail.aspx?id=989e24a8-6fd8-4f76-8cea-ea5ca091a79c
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนเมษายน,https://data.go.th/DatasetDetail.aspx?id=96d63e86-9711-4ccb-851d-8aa4f17a6ed1
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนกุมภาพันธ์,https://data.go.th/DatasetDetail.aspx?id=ecf759a9-35fa-4962-bcf7-9e265dfb9d0e
สังคมและสวัสดิการ,สรุปยอดครู ก ครู ข โครงการตำบลเข้มแข็งไร้ความรุนแรง 2558,https://data.go.th/DatasetDetail.aspx?id=9ea54496-1c67-461b-bf54-f98664765d8e
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนมีนาคม,https://data.go.th/DatasetDetail.aspx?id=43bf1b24-fc13-42dc-bc89-77cb695f1b77
สาธารณสุข,ข้อมูลหน่วยงานบริการสุขภาพในกรุงเทพมหานคร,https://data.go.th/DatasetDetail.aspx?id=64bd04af-ec0a-4ac6-b895-ce7f0e49d4c9
เกษตรกรรม และชลประทาน,ข้อมูลงานวิจัยด้านการประมงชายฝั่งของกรมประมง (พ.ศ. 2541 - 2558),https://data.go.th/DatasetDetail.aspx?id=db2a11f8-14c0-46d3-9352-e28071bde55d
ตัวระบุวัตถุดิจิทัล และรหัสมาตรฐาน,Digital Object Identifier (DOI) ประเภทบทความวารสาร,https://data.go.th/DatasetDetail.aspx?id=ada16f9e-7e47-467c-b174-6c0c4c0678c1
เกษตรกรรม และชลประทาน,ข้อมูลพิกัดสินค้าประมงในระบบ Fisheries Single Window กรมประมง,https://data.go.th/DatasetDetail.aspx?id=4cb47b85-d27e-4c71-be19-f2ccd7fe7c75
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,รายงานพลังงานทดแทนของประเทศไทย 2557 (Thailand Alternative Energy Situation 2014),https://data.go.th/DatasetDetail.aspx?id=44e5ccff-392c-4d05-b0c0-698e4992dcca
คมนาคม และโลจิสติกส์,จำนวนรถจดทะเบียน (สะสม) ณ วันที่  31 พฤษภาคม 2559,https://data.go.th/DatasetDetail.aspx?id=f125570a-22bf-40fb-b7a8-eb061ecdb607
คมนาคม และโลจิสติกส์,สถิติขนส่งทางอากาศปริมาณการจราจรทางอากาศรวมปี 2553,https://data.go.th/DatasetDetail.aspx?id=64deaeaf-d6f3-41bd-af76-2ba45f3917db
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ปริมาณการจำหน่ายรายจังหวัด ก๊าซแอลพีจี,https://data.go.th/DatasetDetail.aspx?id=11e921d6-e7d3-4543-8f3a-ef2734d67375
การเมือง และการปกครอง,รายนามองคมนตรี,https://data.go.th/DatasetDetail.aspx?id=66ae92da-50e5-4684-aedc-430e3ac3e690
เศรษฐกิจ การเงิน และอุตสาหกรรม,ปริมาณการใช้บัตรพลาสติกเพื่อการชำระเงิน ปี ม.ค. 2553 - มี.ค.2558,https://data.go.th/DatasetDetail.aspx?id=295288a9-5cf9-401b-9a64-b5b81461d91b
เศรษฐกิจ การเงิน และอุตสาหกรรม,จำนวนหนี้สินเฉลี่ยต่อครัวเรือน จำแนกตามภาคและจังหวัด พ.ศ. 2539 - 2556,https://data.go.th/DatasetDetail.aspx?id=727f2ef3-5a93-4ad8-922e-2c740b4c206d
สถานที่ การท่องเที่ยว และกีฬา,ผลการสำรวจความพึงพอใจด้านกิจกรรม/สถานที่ท่องเที่ยว ของนักท่องเที่ยวชาวต่างประเทศที่เดินทางท่องเที่ยวในประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=250ca575-4003-4091-a8b7-36735aa8b8eb
เศรษฐกิจ การเงิน และอุตสาหกรรม,รายชื่อธุรกิจที่ได้รับประกาศเกียรติคุณธรรมาภิบาลธุรกิจดีเด่นของจังหวัด,https://data.go.th/DatasetDetail.aspx?id=e6f38756-749f-4214-921b-e72d96fa1375
สถานที่ การท่องเที่ยว และกีฬา,ผลการสำรวจความพึงพอใจด้านมัคคุเทศก์ ของนักท่องเที่ยวชาวต่างประเทศที่เดินทางท่องเที่ยวในประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=cca48996-47ba-4679-a061-1439f7162fb0
คมนาคม และโลจิสติกส์,สถิติจำนวนรถจดทะเบียนสะสม เดือนมกราคม,https://data.go.th/DatasetDetail.aspx?id=8f4506f9-ad52-49fe-9191-ed4caa66d275
เศรษฐกิจ การเงิน และอุตสาหกรรม,จำนวนบัตรพลาสติกธนาคารพาณิชย์ที่จดทะเบียนในประเทศและสาขาธนาคารต่างประเทศ ม.ค. 2553  - มี.ค. 2558,https://data.go.th/DatasetDetail.aspx?id=12f4e716-fffd-4a4c-8f0c-e5d203516d70
เศรษฐกิจ การเงิน และอุตสาหกรรม,เงินรับฝากและเงินให้สินเชื่อจำแนกตามจังหวัด (2553 - 2555),https://data.go.th/DatasetDetail.aspx?id=a501a52b-f493-4238-b3d4-02ad5cefe1bd
ศาสนา ศิลปะ และวัฒนธรรม,รายงานทะเบียนวัดจังหวัดหนองคาย,https://data.go.th/DatasetDetail.aspx?id=4c6ec404-6f59-4c4d-a987-01ac1ed812e5
คมนาคม และโลจิสติกส์,สถิติขนส่งทางอากาศปริมาณการจราจรทางอากาศรวมปี 2556,https://data.go.th/DatasetDetail.aspx?id=99ed5069-50eb-4c39-a927-128064c52f55
สังคมและสวัสดิการ,รายงานด้านสังคม,https://data.go.th/DatasetDetail.aspx?id=ed2f6e11-2eaf-48d1-806d-094450af5444
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ข้อมูลประทานบัตร,https://data.go.th/DatasetDetail.aspx?id=0ac3e558-72eb-4413-8a6b-4cb651b09ee4
งบประมาณ และการใช้จ่ายของภาครัฐ,รายงาานรายชื่อและราคาของผู้ที่เข้าเสนอราคาประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์(กันยายน),https://data.go.th/DatasetDetail.aspx?id=42cb4b70-bb2e-482d-a377-01582aebfe29
เกษตรกรรม และชลประทาน,ฐานข้อมูลเชื้อพันธุกรรมข้าว(พ.ศ. 2546 - 2550),https://data.go.th/DatasetDetail.aspx?id=7124ba84-e273-4c3e-9be1-3dbb8f55390b
สังคมและสวัสดิการ,จำนวนประชากรอายุ 15 ปีขึ้นไป จำแนกตามสถานภาพแรงงาน เพศ ทั่วราชอาณาจักร พ.ศ. 2548 - 2557,https://data.go.th/DatasetDetail.aspx?id=ae399a21-b4a2-42ed-b4b9-9c604f494ad4
สาธารณสุข,บัญชียาหลักแห่งชาติ บัญชียาจากสมุนไพร,https://data.go.th/DatasetDetail.aspx?id=ef16a7ea-44b9-4bbc-92b2-ff2cb35a924d
ศาสนา ศิลปะ และวัฒนธรรม,รายงานทะเบียนวัดจังหวัดกรุงเทพมหานคร,https://data.go.th/DatasetDetail.aspx?id=8a78fff3-1583-4844-89b4-72d54947014e
